SK_ID_CURR;NAME_CAR;PRICE_CAR;DOWN_PAYMENT;PERCENT_DOWN_PAYMENT;INTEREST_RATE;AMT_CREDIT;AMT_ANNUITY;INCOME_TOTAL;TENOR;RATIO_DTI;DATA_BLACKLIST;DEBITUR;AGE;OCCUPATION_TYPE;TOTAL_DEPENDENTS;NAME_HOUSING_TYPE;PARTNER_OCCUPATION;SCOR;TARGET
100001;MAZDA 2;371100000;155862000;42,00%;0,06;215238000;Rp3.592.773,32;7131657;60;50,4;Tidak Ada;Lama;27;Wiraswasta;0;Sewa;Wiraswasta;51;1
100005;MAZDA 2;371100000;148440000;40,00%;0,08;222660000;9285233,226;48372090;24;19,2;Tidak Ada;Baru;41;Profesional;2;KPR; profesional;98;0
100013;MAZDA 3;583800000;350280000;60,00%;0,04;233520000;3895958,164;9345291;60;41,7;Tidak Ada;Lama;32;Swasta Nasional;1;KPR;Tidak Bekerja;55;1
100028;MAZDA 2;371100000;152151000;41,00%;0,06;218949000;18251680,41;47271365;12;38,6;Tidak Ada;Baru;30;Profesional;1;Milik Sendiri;Tidak Bekerja;83;0
100038;MAZDA CX-3;403300000;193584000;48,00%;0,06;209716000;5830834,552;32166481;36;18,1;Ada;Baru;28;Profesional;0;Milik Sendiri;Tidak Bekerja;68;0
100042;MAZDA 2;371100000;137307000;37,00%;0,08;233793000;3904478,179;17207000;60;22,7;Tidak Ada;Baru;47;Karyawan;1;KPR;Tidak Bekerja;93;0
100057;MAZDA CX-3;403300000;225848000;56,00%;0,04;177452000;2960541,144;17135196;60;17,3;Tidak Ada;Baru;53;Karyawan;2;Orang Tua;Tidak Bekerja;95;0
100065;MAZDA CX-8;828800000;372960000;45,00%;0,06;455840000;7608924,963;28424141;60;26,8;Tidak Ada;Baru;42;Profesional;2;KPR;Karyawan;98;0
100066;MAZDA MX-5;943300000;471650000;50,00%;0,04;471650000;7868827,8;17635218;60;44,6;Tidak Ada;Baru;30;Karyawan;2;KPR;Swasta Nasional;63;0
100067;MAZDA CX-30;585500000;304460000;52,00%;0,04;281040000;5859782,832;42566653;48;13,8;Tidak Ada;Baru;53;Profesional;3;KPR;Karyawan;100;0
100074;MAZDA CX-30;585500000;345445000;59,00%;0,04;240055000;6672307,297;26460898;36;25,2;Tidak Ada;Baru;48;Profesional;3;KPR; profesional;100;0
100090;MAZDA MX-5;943300000;439588000;46,60%;0,06;503712000;8408008,974;16476336;60;51,0;Tidak Ada;Baru;40;Karyawan;2;Sewa;Karyawan;63;0
100091;MAZDA MX-5;943300000;339588000;36,00%;0,08;603712000;10082339,21;43015332;60;23,4;Tidak Ada;Baru;32;Profesional;3;Milik Sendiri; profesional;98;0
100092;MAZDA 3;583800000;373204000;63,93%;0,04;210596000;3513502,935;9300804;60;37,8;Tidak Ada;Baru;52;Swasta Nasional;3;Orang Tua;Tidak Bekerja;72;0
100106;MAZDA MX-5;943300000;367887000;39,00%;0,08;575413000;9609729,557;27070025;60;35,5;Tidak Ada;Baru;32;Profesional;1;KPR; profesional;83;0
100107;MAZDA CX-30;585500000;234200000;40,00%;0,08;351300000;9770373,291;33276209;36;29,4;Tidak Ada;Lama;33;Profesional;2;Milik Sendiri; profesional;98;0
100109;MAZDA MX-5;943300000;490516000;52,00%;0,04;452784000;12585090,86;48589947;36;25,9;Tidak Ada;Baru;39;Profesional;2;KPR;Karyawan;98;0
100117;MAZDA CX-8;828800000;373504000;45,07%;0,06;455296000;7599844,463;17948037;60;42,3;Tidak Ada;Baru;40;Karyawan;3;Orang Tua;Swasta Nasional;63;0
100128;MAZDA 3;583800000;350280000;60,00%;0,04;233520000;4868974,121;46518042;48;10,5;Tidak Ada;Baru;47;Profesional;1;KPR;Tidak Bekerja;98;0
100141;MAZDA CX-3;403300000;300850000;74,60%;0,04;102450000;1709236,527;10857113;60;15,7;Tidak Ada;Lama;40;Karyawan;1;Sewa;Swasta Nasional;93;0
100150;MAZDA MX-30 EV;860000000;430000000;50,00%;0,06;430000000;7177601,207;33867521;60;21,2;Tidak Ada;Baru;55;Profesional;2;KPR; profesional;100;0
100168;MAZDA 2;371100000;126174000;34,00%;0,08;244926000;4090405,711;29464404;60;13,9;Tidak Ada;Baru;28;Profesional;1;KPR;Tidak Bekerja;98;0
100169;MAZDA 2;371100000;192972000;52,00%;0,04;178128000;4951051,86;18424475;36;26,9;Tidak Ada;Baru;47;Karyawan;2;Orang Tua;Swasta Nasional;93;0
100170;MAZDA CX-8;828800000;353535000;42,66%;0,06;475265000;7933168,924;37677500;60;21,1;Tidak Ada;Lama;51;Profesional;1;Milik Sendiri; profesional;98;0
100171;MAZDA 6;717700000;222487000;31,00%;0,08;495213000;8270343,22;32704993;60;25,3;Tidak Ada;Lama;38;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100172;MAZDA CX-30;585500000;298605000;51,00%;0,04;286895000;4786446,203;8055269;60;59,4;Tidak Ada;Lama;54;Swasta Nasional;1;Sewa;Swasta Nasional;57;1
100184;MAZDA CX-30;585500000;327880000;56,00%;0,04;257620000;4298033,325;8107273;60;53,0;Ada;Lama;25;Swasta Nasional;1;Sewa;Swasta Nasional;25;1
100187;MAZDA MX-5;943300000;510600000;54,13%;0,04;432700000;7219000,931;17312288;60;41,7;Tidak Ada;Baru;45;Karyawan;3;Orang Tua;Swasta Nasional;63;0
100212;MAZDA CX-8;828800000;248640000;30,00%;0,12;580160000;12116302,2;44309364;48;27,3;Tidak Ada;Baru;26;Profesional;0;Milik Sendiri;Tidak Bekerja;98;0
100222;MAZDA CX-8;828800000;422688000;51,00%;0,04;406112000;8467578,015;29331712;48;28,9;Tidak Ada;Baru;45;Profesional;1;KPR;Karyawan;98;0
100223;MAZDA CX-30;585500000;339590000;58,00%;0,04;245910000;5127309,978;30254289;48;16,9;Tidak Ada;Baru;33;Profesional;1;KPR; profesional;98;0
100232;MAZDA MX-30 EV;860000000;490200000;57,00%;0,04;369800000;6169601,443;15091125;60;40,9;Tidak Ada;Baru;39;Karyawan;3;Sewa;Swasta Nasional;63;0
